State Code,Dist.Code,State,Area Name,No_HH,F_SC,M_ST,F_ST,M_LIT,M_ILL,MAINWORK_M,MAIN_CL_M,MAIN_AL_M,MAIN_HH_M,MARGWORK_M,MARG_HH_F,MARG_OT_F,MARGWORK_3_6_M,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_F,MARG_CL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_M,MARG_HH_0_3_F
10,219,Bihar,Saran,101530.0,36745.0,2563.0,3651.0,147942.0,60896.25,39257.0,10434.0,12739.0,1597.0,20094.375,1227.0,3976.0,118734.5,16859.5,19702.0,2111.75,2411.0,603.0,845.0,3156.0,3550.75,991.0,1400.25,3829.875
10,220,Bihar,Vaishali,67699.0,36181.0,97.0,127.0,94991.0,55589.0,40424.0,10222.0,16129.0,1108.0,18037.0,827.0,2674.0,92119.0,15455.0,14398.0,1757.0,2003.0,464.0,630.0,2274.0,2582.0,649.0,1400.25,2534.0
10,221,Bihar,Samastipur,90205.0,40134.0,79.0,106.0,96517.0,60896.25,41991.0,9183.0,18562.75,1107.0,19562.0,1387.0,3108.0,107630.0,16859.5,22094.0,1544.0,2557.0,448.0,997.0,2456.0,2534.0,590.0,1400.25,3829.875
10,222,Bihar,Begusarai,65446.0,23007.0,66.0,119.0,73690.0,53189.0,30512.0,4338.0,11834.0,1724.0,16841.0,1661.0,4499.0,79526.0,14392.0,16732.0,1035.0,1259.0,598.0,1211.0,3663.0,2449.0,288.0,1342.0,2583.0
10,223,Bihar,Khagaria,25850.0,8989.0,7.0,22.0,25647.0,21051.0,9375.0,1827.0,4427.0,273.0,6995.0,541.0,1429.0,30328.0,5955.0,9298.0,507.0,855.0,179.0,376.0,1162.0,1040.0,302.0,690.0,1992.0
10,224,Bihar,Bhagalpur,48745.0,13555.0,2352.0,3158.0,61418.0,39241.0,24673.0,3010.0,7224.0,1580.0,16079.0,1425.0,4022.0,59907.0,13292.0,14248.0,1095.0,1262.0,565.0,988.0,3087.0,2787.0,382.0,1400.25,3376.0
10,225,Bihar,Banka,33763.0,10577.0,2993.0,4499.0,37451.0,28828.0,14388.0,3586.0,7220.0,381.0,12325.0,840.0,1645.0,39566.0,9897.0,13399.0,1499.0,2027.0,271.0,567.0,1197.0,2428.0,711.0,1400.25,3829.875
10,226,Bihar,Munger,25475.0,8782.0,875.0,1237.0,34944.0,16917.0,11742.0,937.0,2963.0,376.0,8247.0,526.0,2105.0,31872.0,6705.0,6480.0,491.0,498.0,220.0,384.0,1615.0,1542.0,194.0,855.0,1480.0
10,227,Bihar,Lakhisarai,15884.0,7343.0,212.0,264.0,22855.0,16099.0,9771.0,2538.0,3723.0,319.0,5380.0,387.0,784.0,23803.0,4547.0,4360.0,643.0,583.0,133.0,236.0,635.0,833.0,153.0,546.0,788.0
10,228,Bihar,Sheikhpura,10497.0,6119.0,26.0,21.0,14718.0,9842.0,6542.0,1677.0,2515.0,270.0,2794.0,259.0,838.0,15224.0,2237.0,3079.0,346.0,432.0,106.0,169.0,720.0,557.0,136.0,330.0,532.0
10,229,Bihar,Nalanda,51276.0,29180.0,66.0,108.0,76158.0,46264.0,37214.0,8694.0,14882.0,1590.0,11682.0,1263.0,3033.0,73526.0,9917.0,14443.0,1078.0,1665.0,594.0,971.0,2569.0,1765.0,380.0,948.0,1974.0
10,230,Bihar,Patna,108955.0,48980.0,474.0,867.0,163026.75,60896.25,85617.0,11380.0,18562.75,2466.875,20094.375,2033.0,9393.625,118734.5,16859.5,23887.0,1969.0,1930.0,603.0,1550.0,7776.0,3550.75,479.0,1400.25,2781.0
10,231,Bihar,Bhojpur,50686.0,23285.0,708.0,931.0,92437.0,42732.0,34132.0,9476.0,11255.0,1303.0,17345.0,1614.0,3132.0,83692.0,14355.0,11779.0,2111.75,1644.0,603.0,1015.0,2503.0,2990.0,498.0,1400.25,1926.0
10,232,Bihar,Buxar,28924.0,12027.0,1147.0,1423.0,48468.0,23628.0,17589.0,5307.0,5276.0,642.0,8869.0,840.0,1660.0,45638.0,7353.0,7279.0,958.0,933.0,364.0,563.0,1165.0,1516.0,401.0,906.0,1794.0
10,233,Bihar,Kaimur (Bhabua),23031.0,14113.0,1824.0,2521.0,36259.0,18752.0,12538.0,4438.0,4473.0,529.0,7795.0,623.0,1143.0,34678.0,6511.0,6833.0,948.0,954.0,331.0,448.0,835.0,1284.0,358.0,722.0,1418.0
10,234,Bihar,Rohtas,42264.0,23559.0,1304.0,1811.0,71586.0,32549.0,24953.0,6806.0,7115.0,1216.0,15384.0,1326.0,3677.0,63798.0,12354.0,11426.0,1412.0,1416.0,603.0,869.0,2741.0,3030.0,550.0,1400.25,2759.0
10,235,Bihar,Aurangabad,35546.0,24115.0,33.0,70.0,60577.0,30414.0,21182.0,5869.0,7816.0,776.0,13192.0,1157.0,3049.0,56617.0,10966.0,11246.0,1371.0,1449.0,452.0,810.0,2403.0,2226.0,525.0,1306.0,2114.0
10,236,Bihar,Gaya,67973.0,61018.0,126.0,158.0,109659.0,60896.25,46856.0,11163.0,15553.0,2431.0,20094.375,2148.625,8522.0,104999.0,16859.5,29127.0,2111.75,4290.0,603.0,1606.5,7138.0,3550.75,1056.0,1400.25,3829.875
10,237,Bihar,Nawada,34826.0,26459.0,108.0,175.0,52806.0,37218.0,24006.0,6873.0,8645.0,997.0,11887.0,1104.0,2587.0,54131.0,9946.0,13133.0,1466.0,2211.0,526.0,758.0,2058.0,1941.0,588.0,1135.0,2034.0
10,238,Bihar,Jamui,25948.0,13463.0,2810.0,3940.0,34356.0,23062.0,15633.0,3997.0,6709.0,827.0,8436.0,2148.625,1889.0,33349.0,7008.0,10645.0,1076.0,1467.0,445.0,1606.5,1419.0,1428.0,366.0,866.0,1428.0
10,239,Bihar,Jehanabad ,17379.0,9758.0,40.0,60.0,29150.0,15112.0,12785.0,3340.0,4676.0,470.0,4138.0,373.0,1004.0,27339.0,3578.0,4325.0,390.0,500.0,200.0,220.0,832.0,560.0,132.0,273.0,641.0
10,240,Bihar,Arwal,12235.0,6087.0,19.0,44.0,17700.0,9647.0,7243.0,1719.0,3564.0,172.0,3038.0,262.0,335.0,17066.0,2551.0,3013.0,227.0,261.0,103.0,175.0,239.0,487.0,102.0,284.0,589.0
11,241,Sikkim,North  District,1111.0,47.0,1436.0,2214.0,1379.0,495.0,644.0,183.0,56.0,8.0,308.0,13.0,107.0,922.0,238.0,302.0,112.0,163.0,2.0,6.0,85.0,70.0,68.0,22.0,35.0
